genus,marker,n_unadjusted,n_adjusted,unadjusted_r,unadjusted_p,unadj_ci_lo,unadj_ci_hi,adjusted_r,adjusted_p,adj_ci_lo,adj_ci_hi,survives_adjustment,direction_consistent,unadj_direction,adj_direction,adj_bonferroni_passes,adj_fdr_adjusted_p,adj_fdr_passes
Tannerella,Systolic BP,9520,7838,0.0405,7.881119053063268e-05,0.0204,0.0605,0.0211,0.06204150624645855,-0.0011,0.0432,False,True,positive,positive,False,0.16422751653474324,False
Tannerella,Diastolic BP,9498,7824,0.0521,3.8277630442460266e-07,0.032,0.0721,0.0038,0.7360412946448824,-0.0183,0.026,False,True,positive,positive,False,0.8492784168979413,False
Tannerella,HbA1c,9360,7752,0.05,1.278723812459996e-06,0.0298,0.0702,0.0471,3.3909379571067194e-05,0.0248,0.0693,True,True,positive,positive,True,0.0004766776230342683,True
Prevotella,hsCRP,4713,3912,0.0349,0.01653890441057944,0.0064,0.0634,0.0352,0.027880753730630682,0.0038,0.0664,True,True,positive,positive,False,0.10037071343027044,False
Prevotella,HDL,9239,7649,0.004,0.7027786524022698,-0.0164,0.0244,0.0238,0.03721855665688667,0.0014,0.0462,True,True,positive,positive,False,0.11963107496856429,False
Prevotella,LDL,4418,3650,0.0446,0.0030030750640680755,0.0152,0.074,0.0485,0.0034032768101651674,0.0161,0.0808,True,True,positive,positive,False,0.021878208065347505,True
Prevotella,Triglycerides,4496,3724,-0.0054,0.7193905189032389,-0.0346,0.0239,0.0307,0.061090891112777795,-0.0014,0.0628,False,False,negative,positive,False,0.16422751653474324,False
Prevotella,Glucose,4539,3760,-0.0174,0.24237604791150852,-0.0464,0.0117,0.0101,0.5352624376649522,-0.0219,0.0421,False,False,negative,positive,False,0.7299033240885712,False
Prevotella,Total Chol,9239,7649,0.0267,0.010355617362718337,0.0063,0.047,0.0406,0.0003853161569466059,0.0182,0.0629,True,True,positive,positive,True,0.0031525867386540483,True
Prevotella,Systolic BP,9520,7838,-0.0365,0.0003701164192301534,-0.0565,-0.0164,-0.0046,0.6846327865456568,-0.0267,0.0176,False,True,negative,negative,False,0.8140432036370971,False
Prevotella,Diastolic BP,9498,7824,-0.0088,0.3921831517898611,-0.0289,0.0113,-0.0195,0.0847457458141697,-0.0416,0.0027,False,True,negative,negative,False,0.21186436453542423,False
Prevotella,HbA1c,9360,7752,-0.0378,0.00025815410650957316,-0.058,-0.0175,0.0035,0.7602108484540946,-0.0188,0.0257,False,False,negative,positive,False,0.8552372045108565,False
Veillonella,hsCRP,4713,3912,-0.0136,0.349354618600883,-0.0422,0.0149,-0.036,0.024374831006582106,-0.0673,-0.0047,True,True,negative,negative,False,0.09537977350401694,False
Veillonella,HDL,9239,7649,0.0072,0.49071308588107565,-0.0132,0.0276,0.0473,3.447294852525281e-05,0.025,0.0697,True,True,positive,positive,True,0.0004766776230342683,True
Veillonella,LDL,4418,3650,-0.0219,0.14567385481621195,-0.0513,0.0076,-0.0157,0.34460503947602317,-0.0481,0.0168,False,True,negative,negative,False,0.557255445005889,False
Veillonella,Triglycerides,4496,3724,0.0394,0.008295418692186791,0.0101,0.0685,0.0206,0.2081029001038476,-0.0115,0.0527,False,True,positive,positive,False,0.39019293769471425,False
Veillonella,Glucose,4539,3760,-0.0133,0.3685562365566305,-0.0424,0.0157,-0.0122,0.45646311441458565,-0.0441,0.0198,False,True,negative,negative,False,0.6846946716218785,False
Veillonella,Total Chol,9239,7649,-0.0036,0.7298920362180382,-0.024,0.0168,-0.0058,0.6116181268617547,-0.0282,0.0166,False,True,negative,negative,False,0.7967759337038771,False
Veillonella,Systolic BP,9520,7838,0.0331,0.0012557489242284142,0.013,0.0531,0.0273,0.01567410383987377,0.0052,0.0494,True,True,positive,positive,False,0.07053346727943197,False
Veillonella,Diastolic BP,9498,7824,0.013,0.20549895598195836,-0.0071,0.0331,0.0081,0.472016571022552,-0.014,0.0303,False,True,positive,positive,False,0.6851853450327368,False
Veillonella,HbA1c,9360,7752,0.0142,0.16843434152248374,-0.006,0.0345,-0.0071,0.5326174676875964,-0.0293,0.0152,False,False,positive,negative,False,0.7299033240885712,False
Rothia,hsCRP,4713,3912,0.0563,0.00011021182843576812,0.0278,0.0847,0.0072,0.6536771736772601,-0.0242,0.0385,False,True,positive,positive,False,0.8140432036370971,False
Rothia,HDL,9239,7649,-0.0168,0.10643892477400634,-0.0372,0.0036,-0.021,0.06589728234629377,-0.0434,0.0014,False,True,negative,negative,False,0.1694501546047554,False
