Name	Taxonomy in SILVA v123
RB_class82	Bacteria;Planctomycetes;vadinHA49
RB_class83	Bacteria;Proteobacteria;ARKDMS-49
RB_class84	Bacteria;Proteobacteria;Alphaproteobacteria
RB_class85	Bacteria;Proteobacteria;Betaproteobacteria
RB_class86	Bacteria;Proteobacteria;Deltaproteobacteria
RB_class87	Bacteria;Proteobacteria;Epsilonproteobacteria
RB_class88	Bacteria;Proteobacteria;Gammaproteobacteria
RB_class89	Bacteria;Proteobacteria;JTB23
RB_class90	Bacteria;Proteobacteria;NA
RB_class91	Bacteria;Proteobacteria;SC3-20
RB_class92	Bacteria;Proteobacteria;TA18
RB_class93	Bacteria;RsaHF231;NA
RB_class94	Bacteria;SHA-109;NA
RB_class95	Bacteria;SM2F11;NA
RB_class96	Bacteria;Saccharibacteria;NA
RB_class97	Bacteria;Saccharibacteria;Unknown_Class
RB_class98	Bacteria;Spirochaetae;Spirochaetes
RB_class99	Bacteria;Synergistetes;Synergistia
RB_class100	Bacteria;TM6;NA
RB_class101	Bacteria;Tenericutes;Mollicutes
RB_class102	Bacteria;Thermotogae;Thermotogae
RB_class103	Bacteria;Verrucomicrobia;NA
RB_class104	Bacteria;Verrucomicrobia;OPB35_soil_group
RB_class105	Bacteria;Verrucomicrobia;Opitutae
RB_class106	Bacteria;Verrucomicrobia;Spartobacteria
RB_class107	Bacteria;Verrucomicrobia;UA11
RB_class108	Bacteria;Verrucomicrobia;Verrucomicrobia_Incertae_Sedis
RB_class109	Bacteria;Verrucomicrobia;Verrucomicrobiae
RB_class110	Bacteria;WCHB1-60;NA
RB_family1	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1)
RB_family2	Bacteria;Acidobacteria;Acidobacteria;Subgroup_2;NA
RB_family3	Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;GOUTB8
RB_family4	Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;NA
RB_family5	Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;PAUC26f
RB_family6	Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;SJA-149
RB_family7	Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;Unknown_Family
RB_family8	Bacteria;Acidobacteria;Acidobacteria;Subgroup_4;11-24
RB_family9	Bacteria;Acidobacteria;Acidobacteria;Subgroup_4;DS-100
RB_family10	Bacteria;Acidobacteria;Acidobacteria;Subgroup_4;NA
RB_family11	Bacteria;Acidobacteria;Acidobacteria;Subgroup_4;RB41
RB_family12	Bacteria;Acidobacteria;Acidobacteria;Subgroup_4;Unknown_Family
RB_family13	Bacteria;Acidobacteria;Acidobacteria;Subgroup_5;NA
RB_family14	Bacteria;Acidobacteria;Acidobacteria;Subgroup_6;NA
RB_family15	Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae
RB_family16	Bacteria;Acidobacteria;Holophagae;NA;NA
RB_family17	Bacteria;Acidobacteria;Holophagae;Subgroup_10;ABS-19
RB_family18	Bacteria;Acidobacteria;Holophagae;Subgroup_10;NA
RB_family19	Bacteria;Acidobacteria;Holophagae;Subgroup_10;Sva0725
RB_family20	Bacteria;Acidobacteria;Holophagae;Subgroup_7;NA
RB_family21	Bacteria;Acidobacteria;NA;NA;NA
RB_family22	Bacteria;Acidobacteria;Subgroup_22;NA;NA
RB_family23	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
RB_family24	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiales_Incertae_Sedis
RB_family25	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae
RB_family26	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;NA
RB_family27	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1_clade
RB_family28	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996_marine_group
RB_family29	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae
RB_family30	Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae
RB_family31	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae
RB_family32	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae
RB_family33	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae
RB_family34	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae
RB_family35	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;NA
RB_family36	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae
RB_family37	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Tsukamurellaceae
RB_family38	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae
RB_family39	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Cryptosporangiaceae
RB_family40	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae
